p,local_mean,suffix_mean,delta,local_min,local_max,suffix_min,suffix_max,cluster_length
0.5,24.9509,25.0394,-0.0884999999999998,11,38,12,40,2.0
0.51,24.9507,24.5514,0.3993000000000002,12,37,12,38,2.0408163265306123
0.52,24.9792,24.0233,0.9558999999999997,11,37,11,37,2.0833333333333335
0.53,25.014,23.5211,1.4928999999999988,11,37,11,40,2.127659574468085
0.54,25.0731,23.0078,2.0653000000000006,11,39,9,35,2.173913043478261
0.55,25.0026,22.5022,2.5004000000000026,10,39,11,38,2.2222222222222223
0.56,25.0483,22.058,2.9903000000000013,10,41,10,35,2.272727272727273
0.5700000000000001,25.0276,21.5756,3.451999999999998,11,40,9,36,2.3255813953488373
0.5800000000000001,25.0436,21.1313,3.912300000000002,10,39,10,34,2.3809523809523814
0.5900000000000001,25.0664,20.6203,4.446100000000001,10,42,9,36,2.439024390243903
0.6000000000000001,25.0232,20.0727,4.950499999999998,10,39,8,33,2.5000000000000004
0.6100000000000001,25.032,19.6333,5.398700000000002,10,43,5,31,2.5641025641025648
0.6200000000000001,24.9713,19.1059,5.865400000000001,8,41,6,31,2.6315789473684217
0.6300000000000001,25.0152,18.6844,6.3308,9,41,7,32,2.7027027027027035
0.6400000000000001,25.0181,18.1578,6.860299999999999,7,42,6,31,2.7777777777777786
0.6500000000000001,24.9427,17.6753,7.2673999999999985,7,42,6,34,2.857142857142858
0.6600000000000001,25.0769,17.1945,7.882399999999997,7,44,6,30,2.9411764705882364
0.6700000000000002,24.974,16.7098,8.264199999999999,8,43,6,30,3.0303030303030316
0.6800000000000002,24.9365,16.2003,8.7362,6,42,6,28,3.1250000000000018
0.6900000000000002,24.917,15.6338,9.2832,6,42,4,30,3.225806451612905
0.7000000000000002,25.0521,15.1526,9.8995,4,45,4,28,3.3333333333333353
0.7100000000000002,25.1371,14.7193,10.4178,6,45,4,31,3.4482758620689675
0.7200000000000002,24.9675,14.1855,10.782000000000002,6,44,4,27,3.571428571428574
0.7300000000000002,24.9671,13.7585,11.208599999999999,6,46,4,26,3.7037037037037064
0.7400000000000002,25.0127,13.2131,11.799599999999998,4,45,4,27,3.8461538461538494
0.7500000000000002,24.9602,12.7171,12.2431,4,47,3,25,4.0000000000000036
0.7600000000000002,24.9568,12.2829,12.673900000000001,3,46,3,26,4.1666666666666705
0.7700000000000002,24.9866,11.7524,13.2342,4,47,2,26,4.347826086956526
0.7800000000000002,25.02,11.3152,13.704799999999999,3,47,2,23,4.54545454545455
0.7900000000000003,24.9858,10.8273,14.158500000000002,3,49,3,22,4.761904761904768
0.8000000000000003,24.9657,10.2904,14.675299999999998,4,49,1,23,5.000000000000007
0.8100000000000003,25.0114,9.841,15.170399999999999,4,48,2,22,5.26315789473685
0.8200000000000003,25.0324,9.3614,15.671,3,48,1,21,5.555555555555564
0.8300000000000003,24.8787,8.8006,16.0781,1,49,1,20,5.882352941176481
0.8400000000000003,25.0883,8.3268,16.761499999999998,0,49,0,21,6.2500000000000115
0.8500000000000003,25.0001,7.8586,17.1415,0,50,0,19,6.66666666666668
0.8600000000000003,24.9592,7.3644,17.5948,0,50,0,18,7.142857142857159
0.8700000000000003,25.0873,6.8872,18.2001,0,50,0,17,7.692307692307712
0.8800000000000003,25.0581,6.3786,18.6795,0,50,0,17,8.333333333333357
0.8900000000000003,25.1322,5.9098,19.2224,0,50,0,16,9.09090909090912
0.9000000000000004,25.0743,5.3956,19.6787,0,50,0,14,10.000000000000036
0.9100000000000004,24.856,4.8899,19.9661,0,50,0,14,11.111111111111157
0.9200000000000004,24.9468,4.4087,20.5381,0,50,0,13,12.500000000000059
0.9300000000000004,24.9734,3.9433,21.0301,0,50,0,13,14.285714285714363
0.9400000000000004,24.8201,3.4527,21.3674,0,50,0,12,16.666666666666774
0.9500000000000004,24.8343,2.9673,21.866999999999997,0,50,0,10,20.00000000000016
